timestamp,open,high,low,close,volume
2018-01-19,16.2700,18.2500,16.0200,17.9900,113511143
2017-12-29,15.2800,16.3700,14.9800,16.2200,82670748
2017-11-30,14.9000,15.7200,14.3200,15.5600,78192471
2017-10-31,14.5900,15.0900,14.1500,14.8500,122112591
2017-09-29,15.0500,15.0800,14.2100,14.5900,103180382
2017-08-31,15.8500,16.1500,13.8800,15.0000,195545067
2017-07-31,15.1900,15.9300,14.8400,15.8000,121734551
2017-06-30,15.0900,15.6200,14.5300,15.0200,128402545
2017-05-31,14.5500,15.6900,14.4900,15.1000,128172114
2017-04-28,15.7300,15.7700,14.3000,14.5600,118544539
2017-03-31,15.3900,15.9200,14.9300,15.8000,138486873
2017-02-28,13.9500,15.3000,13.4200,15.1400,141944611
2017-01-31,14.7800,15.3800,13.5800,13.7700,180479005
2016-12-30,14.5700,15.0750,14.1600,14.8300,71625917
2016-11-30,15.1901,15.3400,13.7400,14.4800,143144388
2016-10-31,15.8300,16.7100,15.1900,15.2600,101300760
2016-09-30,15.9000,16.5700,15.7600,15.7800,94337442
2016-08-31,16.6000,16.6400,15.6350,15.8600,125238584
2016-07-29,17.8800,18.4800,16.3100,16.4300,93920069
2016-06-30,19.3700,19.7600,17.3100,17.8500,82161036
2016-05-31,18.6800,19.5300,18.1850,19.4400,48662337
2016-04-29,18.8600,20.4700,17.8600,18.8000,87595491
2016-03-31,17.2100,19.3200,17.1200,19.0200,81235227
2016-02-29,17.8800,17.9000,15.9100,16.8200,119722502
2016-01-29,16.4600,18.0700,15.7600,17.9100,102996871
2015-12-31,16.7000,17.0600,15.8700,16.7500,67256634
2015-11-30,18.0800,18.6050,15.7200,16.6800,76610364
2015-10-30,19.0300,19.4600,17.2400,18.1600,110186101
2015-09-30,16.9500,19.1600,16.7500,19.0900,89657860
2015-08-31,17.0000,18.2300,15.9030,17.1500,88277233
2015-07-31,15.9800,17.9000,15.3200,16.9100,94030657
2015-06-30,31.9700,32.7200,15.6600,15.8500,56561182
2015-05-29,31.0300,32.2000,30.5100,31.8700,48931693
2015-04-30,34.8300,36.4400,30.8700,30.9800,82518782
2015-03-31,36.7000,37.0900,34.3800,35.0800,56704167
2015-02-27,34.6900,37.2750,34.0500,36.7100,38635964
2015-01-30,32.2300,35.8500,30.7800,34.0800,62058709
2014-12-31,69.7000,70.3600,30.4100,31.4600,56447738
2014-11-28,66.7000,70.2500,65.8000,69.8400,22614210
2014-10-31,61.5200,68.2700,59.0700,66.8600,51427189
2014-09-30,59.4600,62.1600,58.4500,60.4900,34994352
2014-08-29,54.8800,59.8700,54.6400,59.5000,25321617
2014-07-31,53.6200,56.5000,52.6700,54.8200,29448597
2014-06-30,51.6800,55.2600,51.0400,53.7700,29844427
2014-05-30,53.5800,54.9200,50.0600,51.4300,35726850
2014-04-30,54.9100,55.8900,50.9100,53.7100,31318812
2014-03-31,60.7100,63.2000,52.9200,54.1800,33827804
2014-02-28,58.1300,62.1300,55.7900,61.6700,19351119
2014-01-31,56.2500,61.6600,55.2400,58.5800,35081838
2013-12-31,54.0100,58.3300,53.0900,56.6000,18719959
2013-11-29,53.1000,55.7000,52.3100,54.0200,20881040
2013-10-31,48.1700,55.1400,47.7500,53.0600,33453810
2013-09-30,44.9900,49.5100,44.8100,48.1100,25349076
2013-08-30,49.7500,50.5100,45.5800,46.3700,30352436
2013-07-31,40.9500,50.3250,40.0000,49.6800,39745511
2013-06-28,44.0000,44.5800,38.9100,41.1900,33666192
2013-05-31,42.0600,44.1100,41.0600,41.7500,35253930
2013-04-30,53.9400,54.8510,39.7500,41.7400,68030856
2013-03-28,53.4700,55.2150,52.0100,53.9100,31213821
2013-02-28,52.4900,55.7050,50.8000,53.9300,35482108
2013-01-31,43.4900,53.3700,42.3400,52.7200,59451212
2012-12-31,44.2500,44.4000,41.1800,42.3000,37373497
2012-11-30,43.8200,44.7500,41.5900,44.4500,38237547
2012-10-31,49.3600,49.9900,42.5800,43.4200,53657928
2012-09-28,42.3800,48.9050,41.5800,48.5400,36675465
2012-08-31,39.9400,44.6000,38.9700,42.5300,32820133
2012-07-31,45.4600,46.0500,37.9300,39.5800,49064452
2012-06-29,41.9600,45.5600,41.4040,45.0600,40199666
2012-05-31,47.3700,47.7300,41.5900,42.1000,40466907
2012-04-30,57.1200,57.8700,44.4500,47.3000,49691026
2012-03-30,57.8400,59.1800,55.2400,57.0300,33206747
2012-02-29,55.5200,60.8600,54.9700,57.6800,34182105
2012-01-31,53.6500,56.8800,50.2800,54.9900,42234340
2011-12-30,51.9400,53.8300,48.6900,51.3800,31522017
2011-11-30,57.5000,58.8800,49.2000,51.6200,35300411
2011-10-31,50.4000,61.4800,48.4100,58.5900,47050349
2011-09-30,51.8700,53.1500,46.1200,51.0700,46405004
2011-08-31,63.2600,63.5700,46.4900,51.6200,59514301
2011-07-29,65.6000,68.5200,60.0600,62.2200,36862952
2011-06-30,62.3100,65.4800,60.3000,65.2300,29692199
2011-05-31,65.6500,65.8500,60.9900,61.7500,33242081
2011-04-29,71.9800,74.2500,61.4000,65.1800,50842809
2011-03-31,68.3100,73.2200,64.4600,71.7000,33948277
2011-02-28,68.1200,69.6200,65.7100,66.7000,21727649
2011-01-31,76.8800,77.9200,67.4100,67.7100,36054448
2010-12-31,67.4400,76.8800,67.1400,76.0800,18670170
2010-11-30,67.6600,69.7900,64.2900,66.1500,24242589
2010-10-29,69.0700,71.9900,65.8600,67.4400,35778100
2010-09-30,58.7300,67.9900,58.7300,67.3100,27588635
2010-08-31,61.6000,63.5500,56.7300,57.2800,23952053
2010-07-30,60.1900,63.3600,57.3400,60.4800,30443638
2010-06-30,56.9600,64.5000,55.9400,59.9100,29970134
2010-05-28,60.0800,60.9600,53.2800,57.5300,35652422
2010-04-30,59.6600,63.7300,59.3100,59.9400,34972988
2010-03-31,57.0600,62.3700,56.9000,58.8100,33135332
2010-02-26,52.0300,56.9800,49.5510,56.9000,31665983
2010-01-29,56.0200,59.1300,51.6100,51.9100,35231115
2009-12-31,51.6900,56.1900,51.2200,55.2700,29779020
2009-11-30,46.1600,52.9900,45.7708,50.9700,30796487
2009-10-30,48.8200,49.7300,45.2400,46.0000,50798317
2009-09-30,43.3800,50.1000,42.9200,48.4900,39859957
2009-08-31,43.7700,45.3400,40.0000,43.2300,42407284
2009-07-31,37.2800,43.6000,33.8100,43.0300,66873581
2009-06-30,35.4200,38.1500,34.6100,36.7800,51357917
2009-05-29,30.6600,36.6500,30.3100,34.5600,56224622
2009-04-30,26.7000,31.0000,26.0700,30.8100,66612942
2009-03-31,23.5400,28.1100,22.6100,26.6300,62438122
2009-02-27,26.3500,29.3400,23.6500,24.2000,55607461
2009-01-30,24.5100,28.3800,24.1600,26.5600,63482932
2008-12-31,24.4800,26.2900,21.8700,24.5700,51367916
2008-11-28,29.2800,30.0000,21.1000,25.1500,61175485
