AAPL,170.1600,178.4600,180.1000,169.2600
AAPL,169.9500,169.2300,177.2000,166.4600
AAPL,169.8700,171.8500,176.2400,165.2800
AAPL,154.2600,169.0400,169.6499,152.4600
AAPL,164.8000,154.1200,164.9400,149.1600
AAPL,149.1000,164.0000,164.5200,148.4100
AAPL,144.8800,148.7300,153.9900,142.4100
AAPL,153.1700,144.0200,155.9800,142.2000
AAPL,145.1000,152.7600,156.6500,144.2700
AAPL,143.7100,143.6500,145.4600,140.0600
AAPL,137.8900,143.6600,144.5000,137.0500
AAPL,127.0300,136.9900,137.4800,127.0100
AAPL,115.8000,121.3500,122.4400,114.7600
AAPL,110.3650,115.8200,118.0166,108.2500
AAPL,113.4600,110.5200,113.7700,104.0800
AAPL,112.7100,113.5400,118.6900,112.2800
AAPL,106.1400,113.0500,116.1800,102.5300
AAPL,104.4100,106.1000,110.2300,104.0000
AAPL,95.4900,104.2100,104.5500,94.3700
AAPL,99.0200,95.6000,101.8900,91.5000
AAPL,93.9650,99.8600,100.7300,89.4700
AAPL,108.7800,93.7400,112.3900,92.5100
AAPL,97.6500,108.9900,110.4200,97.4200
AAPL,96.4700,96.6900,98.8900,92.5900
AAPL,102.6100,97.3400,105.8500,92.3900
AAPL,118.7500,105.2600,119.8600,104.8200
AAPL,119.8700,118.3000,123.8200,111.0000
AAPL,109.0700,119.5000,121.2200,107.3100
AAPL,110.1800,110.3000,116.8900,107.3600
AAPL,121.5000,112.7600,122.5700,92.0000
AAPL,126.9000,121.3000,132.9700,119.2200
AAPL,131.2000,125.4250,131.3900,124.4800
AAPL,126.1000,130.2800,132.9700,123.3600
AAPL,124.8200,125.1500,134.5400,123.1000
AAPL,129.2500,124.4300,130.2800,121.6300
AAPL,118.0500,128.4600,133.6000,116.0800
AAPL,111.3900,117.1600,120.0000,104.6300
AAPL,118.8100,110.3800,119.2500,106.2600
AAPL,108.2200,118.9300,119.7500,107.7200
AAPL,100.5900,108.0000,108.0400,95.1800
AAPL,103.0600,100.7500,103.7400,96.1400
AAPL,94.9000,102.5000,102.9000,93.2800
AAPL,93.5200,95.6000,99.4400,92.5700
AAPL,633.9600,92.9300,651.2600,89.6500
AAPL,592.0000,633.0000,644.1700,580.3300
AAPL,537.7600,590.0900,599.4300,511.3300
AAPL,523.4200,536.7400,549.0000,522.8100
AAPL,502.6100,526.2400,551.1900,499.3000
AAPL,555.6800,500.6000,560.2000,493.5500
AAPL,558.0000,561.0200,575.1358,538.8000
AAPL,524.0200,556.0700,558.3300,512.3800
AAPL,478.4500,522.7020,539.2500,478.2800
AAPL,493.1000,476.7500,507.9200,447.2200
AAPL,455.7527,487.2160,513.7400,453.2600
AAPL,402.6900,452.5300,457.3425,401.2200
AAPL,450.7300,396.5300,454.4300,388.8700
AAPL,444.4600,449.7350,465.7500,418.9000
AAPL,441.9000,442.7800,445.2500,385.1000
AAPL,438.0000,442.6600,469.9500,419.0000
AAPL,459.1100,441.4000,484.9400,437.6600
AAPL,553.8200,455.4900,555.0000,435.0000
AAPL,593.6500,532.1729,594.5900,501.2300
AAPL,598.2200,585.2800,603.0000,505.7501
AAPL,671.5000,595.3200,676.7500,587.7000
AAPL,665.7600,667.1050,705.0700,656.0000
AAPL,615.9050,665.2400,680.8700,600.2500
AAPL,584.7300,610.7600,619.8700,570.0000
AAPL,569.1600,584.0000,590.0000,548.5000
AAPL,584.9000,577.7300,596.7600,522.1800
AAPL,601.8300,583.9800,644.0000,555.0000
AAPL,548.1700,599.5500,621.4500,516.2210
AAPL,458.4100,542.4400,547.6100,453.9800
AAPL,409.4000,456.4800,458.2400,409.0000
AAPL,382.5400,405.0000,409.0900,377.6800
AAPL,397.4100,382.2000,408.0000,363.3200
AAPL,380.3700,404.7800,426.7000,354.2400
AAPL,385.8200,381.3200,422.8600,366.4800
AAPL,397.7800,384.8300,399.5000,353.0200
AAPL,335.9500,390.4800,404.5000,334.2000
AAPL,348.8700,335.6700,352.1320,310.5000
AAPL,349.7400,347.8300,351.8300,329.4200
AAPL,351.1100,350.1300,355.1300,320.1600
AAPL,355.4700,348.5075,361.6700,326.2600
AAPL,341.3000,353.2100,364.9000,337.7200
AAPL,325.6400,339.3200,348.6000,324.8365
AAPL,315.2700,322.5600,326.6600,314.8900
AAPL,302.2200,311.1500,321.3000,297.7600
AAPL,283.7500,300.9800,319.0000,277.7700
AAPL,247.4700,283.7500,294.7300,246.2800
AAPL,260.4400,243.1000,264.2800,235.5600
AAPL,254.3000,257.2500,265.9900,239.6000
AAPL,259.6900,251.5300,279.0100,242.2000
AAPL,263.8400,256.8800,267.8800,225.2100
AAPL,237.4900,261.0900,272.4600,232.7500
AAPL,205.7500,235.0000,237.4800,205.4500
AAPL,192.3700,204.6200,205.1700,190.8500
AAPL,213.4300,192.0630,215.5900,190.2500
AAPL,202.2400,210.7320,213.9500,188.6800
AAPL,189.8000,199.9100,208.0000,185.5700
AAPL,185.3500,188.5000,208.7099,180.7000
